~~ pass : , 044*4591B#9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B6615.wav" decoded to "B661" instead of "B6615"
~~ pass : , 47#1C8C9*C
~~ pass : , 31746A08#7A
~~ pass : , 07892*6#7652A
~~ pass : , C4B1459
~~ pass : , 055CC4755B028BA9
~~ pass : , 2#62B32
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/22454609.wav" decoded to "224546009" instead of "22454609"
~~ pass : , 7##*89673#5739B##0
~~ pass : , 53A*7A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/317834BBA5565B###6.wav" decoded to "317834BBAA5565B###6" instead of "317834BBA5565B###6"
~~ pass : , 20*8B4*12
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C2A310BCC8B457*#9C5.wav" decoded to "2A310BCC8B457*#95" instead of "C2A310BCC8B457*#9C5"
~~ pass : , 707715533
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A0398A3638159.wav" decoded to "A038A363159" instead of "A0398A3638159"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/4B*7110BA1CB407470.wav" decoded to "4B*71110A1CB407470" instead of "4B*7110BA1CB407470"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A*48**84C.wav" decoded to "A*48**84" instead of "A*48**84C"
~~ pass : , B#082**59
~~ pass : , 43111A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/2#6553127BB5B4.wav" decoded to "2#653127BB5B4" instead of "2#6553127BB5B4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C6B666*1*5C5B314962.wav" decoded to "6B666**1*5C5B314962" instead of "C6B666*1*5C5B314962"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/70#02B9059**C289.wav" decoded to "70#002B9059**C289" instead of "70#02B9059**C289"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#A19#048.wav" decoded to "##A19#048" instead of "#A19#048"
~~ pass : , 0C5#18
~~ pass : , 33C2197C3805665
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/0926C3.wav" decoded to "0926C33" instead of "0926C3"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B21BB9793232.wav" decoded to "B211BB9793232" instead of "B21BB9793232"
~~ pass : , 275*67
~~ pass : , 36264#
~~ pass : , B7330A0841#3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*#1*C*73#1736B4#3.wav" decoded to "*#1**73#16B4#3" instead of "*#1*C*73#1736B4#3"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B182071B05333#0.wav" decoded to "182071B05333#0" instead of "B182071B05333#0"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/750B47ACA875C30.wav" decoded to "750B47ACA87530" instead of "750B47ACA875C30"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/BCCC98BC8C4CA7A.wav" decoded to "CCC98BC8CCAA" instead of "BCCC98BC8C4CA7A"
~~ pass : , *4C2370
~~ pass : , C02A#6C35#38*4A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C1#B3C9235822.wav" decoded to "C1#3C9235822" instead of "C1#B3C9235822"
~~ pass : , B494080
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B213358800.wav" decoded to "B211338800" instead of "B213358800"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/5*49A3059.wav" decoded to "5*49A309" instead of "5*49A3059"
~~ pass : , 74BB2C3
~~ pass : , 6113B64*76#A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/082C7A69.wav" decoded to "082C7AA69" instead of "082C7A69"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A8C595354460289ABA7.wav" decoded to "A8C5953544600289ABA7" instead of "A8C595354460289ABA7"
~~ pass : , 459A6875449
~~ pass : , 3A5**86C
~~ pass : , 63B1883*7B#
~~ pass : , 2232##1062##9C
~~ pass : , A7873BA
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/72#8*039**.wav" decoded to "72#8**039**" instead of "72#8*039**"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/1974376B1*7B675#7#.wav" decoded to "174376B1*7B675#7#" instead of "1974376B1*7B675#7#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/1CBBC08738.wav" decoded to "1CBC0873" instead of "1CBBC08738"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A1305#87.wav" decoded to "A1305#7" instead of "A1305#87"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#4*A49*CCC17C69.wav" decoded to "#*A49*CCC117C9" instead of "#4*A49*CCC17C69"
~~ pass : , 30C*1*AA8A7727273
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/CBB55446*A09B5928.wav" decoded to "CB5544*A09B5928" instead of "CBB55446*A09B5928"
~~ pass : , 356070
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8A#161B3B.wav" decoded to "A#161B3B" instead of "8A#161B3B"
~~ pass : , *97AC5A
~~ pass : , A*16#420967#6
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#7A#24ACA499A5273.wav" decoded to "#7AA#24ACA499A5273" instead of "#7A#24ACA499A5273"
~~ pass : , 82691B1*CAB2513#*3C
~~ pass : , 7B753AB#A1*C#62
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B872701657A411A6C5.wav" decoded to "B87201657A4111AA6C5" instead of "B872701657A411A6C5"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/38756C*1030756*.wav" decoded to "38756C*103056*" instead of "38756C*1030756*"
~~ pass : , CC54A60
~~ pass : , 0*09*54
~~ pass : , 7BA*69786
~~ pass : , A59C1224156A
~~ pass : , 12A3B312C#A83
~~ pass : , 379*7*1C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*#9328.wav" decoded to "*##9328" instead of "*#9328"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/84A#788A9#5.wav" decoded to "84#788A9#5" instead of "84A#788A9#5"
~~ pass : , 579815B*35
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B176527*3A#05A.wav" decoded to "17527*3AA#05A" instead of "B176527*3A#05A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/40C6385A7.wav" decoded to "40C63385A7" instead of "40C6385A7"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/963C2C09808#17C66.wav" decoded to "963C2C09808#1C66" instead of "963C2C09808#17C66"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/546966561901#C#.wav" decoded to "5696651901#C#" instead of "546966561901#C#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A#2A*B8*0C6CB.wav" decoded to "A#2A*B8**0C6CB" instead of "A#2A*B8*0C6CB"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/2497#0152A*B16.wav" decoded to "247#0152A*B16" instead of "2497#0152A*B16"
~~ pass : , 36B7367*7A*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/5492AA43B5639A5*.wav" decoded to "492AA43B539A5*" instead of "5492AA43B5639A5*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/04B995BC98600.wav" decoded to "0B995BC9800" instead of "04B995BC98600"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/90#15625#7232238B17.wav" decoded to "0#15625##72322238B17" instead of "90#15625#7232238B17"
~~ pass : , 974155*B
~~ pass : , 1CA8114#B1
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8B06957170A7.wav" decoded to "8B069571170A7" instead of "8B06957170A7"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8457902B0475.wav" decoded to "8457902B047" instead of "8457902B0475"
~~ pass : , 5598A6008C4
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/4C38384CA4*05AC8B#1.wav" decoded to "4C38384CA4*0AC8B#11" instead of "4C38384CA4*05AC8B#1"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C727331C04B8C*.wav" decoded to "C727331C04B8C**" instead of "C727331C04B8C*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/0C3*#*B26*335.wav" decoded to "0C3*#*B2*335" instead of "0C3*#*B26*335"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A9A57699744.wav" decoded to "A9A5769744" instead of "A9A57699744"
~~ pass : , C26231
~~ pass : , C93B6A#A92
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C766A921237.wav" decoded to "C766A9221237" instead of "C766A921237"
~~ pass : , 1985215101681
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#6526B11A5B27B.wav" decoded to "*1A**B" instead of "#6526B11A5B27B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/67C226CC10*0.wav" decoded to "67C226C110*0" instead of "67C226CC10*0"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A2114A4#3589#37.wav" decoded to "A21144#358937" instead of "A2114A4#3589#37"
~~ pass : , *288C19#*B40#8A9
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/##62738C25C#A1C.wav" decoded to "##62738C25C#A11C" instead of "##62738C25C#A1C"
~~ pass : , A42*A1#*8184B5839
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/1467C65C8B.wav" decoded to "11467C65C8B" instead of "1467C65C8B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A76246C602#A0.wav" decoded to "A6246602#A0" instead of "A76246C602#A0"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/97021B8#B1992*B2#.wav" decoded to "9021B8#B1992*B2#" instead of "97021B8#B1992*B2#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/299*3108*5BBC*B.wav" decoded to "299*3108*BBC*B" instead of "299*3108*5BBC*B"
~~ pass : , *#1B2
~~ pass : , 2#699*3
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/9#106C092*589BB327C.wav" decoded to "9#1106C092*589BB327C" instead of "9#106C092*589BB327C"
~~ pass : , 4C0B44259
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/74252*#.wav" decoded to "7252*#" instead of "74252*#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B889#ABBC6A3263.wav" decoded to "B889#ABBC6A32263" instead of "B889#ABBC6A3263"
~~ pass : , C5*17184*A
~~ pass : , *0#C*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/52284A3#416A.wav" decoded to "5228A3#416A" instead of "52284A3#416A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8CA186#195#BA0#13.wav" decoded to "8CA118#195#A0#13" instead of "8CA186#195#BA0#13"
~~ pass : , *54#114A9*
~~ pass : , 52*AA62*
~~ pass : , A41#171602A7
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/ABA882BA387B688*67.wav" decoded to "ABA882BA387688*67" instead of "ABA882BA387B688*67"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A4211*70**AB#5913.wav" decoded to "A4211*70**AB#59133" instead of "A4211*70**AB#5913"
~~ pass : , 6C2*752687
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8C0245.wav" decoded to "8C02245" instead of "8C0245"
~~ pass : , C792A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A126C9CA1#975C.wav" decoded to "A126C9A1#975C" instead of "A126C9CA1#975C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/ABC*573C#2C3440408A.wav" decoded to "ABC*573C#2C440408A" instead of "ABC*573C#2C3440408A"
~~ pass : , A21*CA6890147
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/30B0B7063B96.wav" decoded to "3007063B6" instead of "30B0B7063B96"
~~ pass : , *26959B1AA10#0*A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/02360*0B4.wav" decoded to "02360*00B4" instead of "02360*0B4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/74A1445BA.wav" decoded to "74A145BA" instead of "74A1445BA"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/17299#375#321.wav" decoded to "117299#35#321" instead of "17299#375#321"
~~ pass : , 830*C
~~ pass : , 30211
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/0*124.wav" decoded to "0*12" instead of "0*124"
~~ pass : , 8A6832164#506
~~ pass : , C707721#*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*358C2C.wav" decoded to "*35C2C" instead of "*358C2C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/678A#497BB.wav" decoded to "678A#97BB" instead of "678A#497BB"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/BA90#133430.wav" decoded to "BA90#11333430" instead of "BA90#133430"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C#2163*#86764#B99.wav" decoded to "C#213*#6764#B99" instead of "C#2163*#86764#B99"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/16A444.wav" decoded to "116A444" instead of "16A444"
~~ pass : , 72C0C6*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/9716B88932*996A*.wav" decoded to "916B88932*996A*" instead of "9716B88932*996A*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*41656C0498*382.wav" decoded to "*4156C048*382" instead of "*41656C0498*382"
~~ pass : , 128B0*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/17753990.wav" decoded to "177533990" instead of "17753990"
~~ pass : , 924397#09A#5B#56C2
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*99373571.wav" decoded to "*9937351" instead of "*99373571"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*B#3#*181A.wav" decoded to "*B#3#**181A" instead of "*B#3#*181A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/20B*CC557.wav" decoded to "20B*CC57" instead of "20B*CC557"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/4#B6*4A4*C55366.wav" decoded to "4#B6*4A4*C5536" instead of "4#B6*4A4*C55366"
~~ pass : , B31C2#B6*06532A74A
~~ pass : , *4809A#1CA*7925
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/6A4179A16.wav" decoded to "6A417A16" instead of "6A4179A16"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/2403748A1775#C#.wav" decoded to "2403748A1775##C#" instead of "2403748A1775#C#"
~~ pass : , B5*0A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A605C822BB4*79BC3A.wav" decoded to "A60C822B4*79BC3A" instead of "A605C822BB4*79BC3A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A856A421AC#7BA616#2.wav" decoded to "A856A421AC#7BA16#2" instead of "A856A421AC#7BA616#2"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*93#9C#0B2.wav" decoded to "*933#9C#0B2" instead of "*93#9C#0B2"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/AB966A34*50*4.wav" decoded to "AB966A34**50*4" instead of "AB966A34*50*4"
~~ pass : , 327#4BC03
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#046A6.wav" decoded to "#0A6" instead of "#046A6"
~~ pass : , 48*4#CB1484C*B*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C890#46585.wav" decoded to "C890#658" instead of "C890#46585"
~~ pass : , A4BC6*289B199A3A8
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/0266C996#*6147.wav" decoded to "0266C996##*6147" instead of "0266C996#*6147"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/35#5A4*B#08472.wav" decoded to "3#5A4*B#08472" instead of "35#5A4*B#08472"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/514C0#7462B542.wav" decoded to "514C0#7462B52" instead of "514C0#7462B542"
~~ pass : , 90746
~~ pass : , **68#7#C#5020383C4
~~ pass : , 4*863BB87430B#366
~~ pass : , 024500#7A58A
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/59742B2C#7070C5*4.wav" decoded to "59742B2C#7070C5**4" instead of "59742B2C#7070C5*4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/11BC0C9#2*6B.wav" decoded to "11B0C9#2*6B" instead of "11BC0C9#2*6B"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#*52A6#0#C6.wav" decoded to "#**52A6#0#C6" instead of "#*52A6#0#C6"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/AB5A3.wav" decoded to "A5A3" instead of "AB5A3"
~~ pass : , #7697*2236
~~ pass : , 180A*C5550
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/3646727B275.wav" decoded to "66727B275" instead of "3646727B275"
~~ pass : , 035#4A
~~ pass : , C376##616A30*A187*#
~~ pass : , 5#363
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A877B1A546999462B2A.wav" decoded to "A877B1A5699962B2A" instead of "A877B1A546999462B2A"
~~ pass : , 0#CA#17#5C1506*C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/AA*645#ACCCA1#51825.wav" decoded to "AA*645#ACCCA11#1825" instead of "AA*645#ACCCA1#51825"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/89759#.wav" decoded to "8759#" instead of "89759#"
~~ pass : , 8998630245*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/45B59A9A1#A331BBA25.wav" decoded to "45B59A9A1#A3311BBA25" instead of "45B59A9A1#A331BBA25"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#749#5A*58563.wav" decoded to "#749#5A*5853" instead of "#749#5A*58563"
~~ pass : , 6*C485#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/733*8B163B93*.wav" decoded to "733*8B16393*" instead of "733*8B163B93*"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/2#1*25313.wav" decoded to "2#1*253133" instead of "2#1*25313"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A77#7*#5408#A590.wav" decoded to "AA#7*#5408#A590" instead of "A77#7*#5408#A590"
~~ pass : , 8A0A5451B
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/8880*CC9A46C.wav" decoded to "880*CC9A4C" instead of "8880*CC9A46C"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/2A533723B401.wav" decoded to "2A533723B4011" instead of "2A533723B401"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*41*574*4CB7B*6.wav" decoded to "*41*57*4CB7B*6" instead of "*41*574*4CB7B*6"
~~ pass : , 479482B9#5C449C392C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/16C25308456056.wav" decoded to "16C2530456056" instead of "16C25308456056"
~~ pass : , 629B*B29*780648C#
~~ pass : , 3***A75#4B639CC5C
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/20B5*0812824#**.wav" decoded to "20B5*0812822##**" instead of "20B5*0812824#**"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/**4B443AC**73#.wav" decoded to "**4B443AAC**73#" instead of "**4B443AC**73#"
~~ pass : , B0653894
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/679B72258#6788#3.wav" decoded to "679B7228#6788#3" instead of "679B72258#6788#3"
~~ pass : , A9*083*
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/C065#C360*776872856.wav" decoded to "C065C30*776872856" instead of "C065#C360*776872856"
~~ pass : , 78858*09
~~ pass : , 437*0*C7#7
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/3B8A5##CA56*#1447#.wav" decoded to "3B8A5###CA56*#144#" instead of "3B8A5##CA56*#1447#"
~~ pass : , 5#3C54*0657
~~ pass : , 4#335BC0*21**
~~ pass : , C15#5205C#
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/0*C5C051*24120*757.wav" decoded to "0*C5C0511*24120*75" instead of "0*C5C051*24120*757"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/*15198.wav" decoded to "*1198" instead of "*15198"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/B077CB44C4.wav" decoded to "B077CB4C4" instead of "B077CB44C4"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/A2667BB#A83592.wav" decoded to "A2667BB#A835922" instead of "A2667BB#A83592"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/53#7CC7A.wav" decoded to "537CC7A" instead of "53#7CC7A"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/536A*2*#9*4.wav" decoded to "536A*2*#9" instead of "536A*2*#9*4"
~~ pass : , 5#*6BA
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/9B629042B7#.wav" decoded to "9B629027#" instead of "9B629042B7#"
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/#2A5A0A8.wav" decoded to "#2AAA0A8" instead of "#2A5A0A8"
~~ pass : , *79282724868
~~ pass : , C1659
** FAIL : , The file "/home/tino1b2be/workspace/DTMF-Decoder/Prototyping/Test Data/-27dBm to -10dBm/4#597A77A.wav" decoded to "4#97A77A" instead of "4#597A77A"
